Track Name,Album Name,Duration (ms),Explicit,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
The Best Day (Taylor's Version),Fearless (Taylor's Version),245290,FALSE,0.642,0.576,0.488,0,0.159,-8.524,0.0282,125,0.469
The Best Day,Fearless (International Version),245266,FALSE,0.671,0.44,0.648,0.00000304,0.141,-8.561,0.0287,126.059,0.368
right where you left me - bonus track,evermore (deluxe version),245026,FALSE,0.581,0.619,0.769,0.000106,0.117,-6.524,0.0282,137.915,0.645
End Game,reputation,244826,FALSE,0.649,0.589,0.00845,0,0.108,-6.237,0.0558,159.073,0.151
The Way I Loved You,Fearless (International Version),244626,FALSE,0.434,0.723,0.0315,0,0.125,-3.748,0.0335,160.872,0.412
I Almost Do (Taylor's Version),Red (Taylor's Version),244586,FALSE,0.511,0.559,0.0167,0,0.113,-6.587,0.0264,145.88,0.248
We Were Happy (Taylor's Version) (From The Vault),Fearless (Taylor's Version),244236,FALSE,0.609,0.373,0.849,0,0.0779,-8.819,0.0263,106.007,0.13
champagne problems,evermore (deluxe version),244000,TRUE,0.462,0.24,0.92,0,0.113,-12.077,0.0377,171.319,0.32
Everything Has Changed,Red,243933,FALSE,0.624,0.458,0.36,0.00000389,0.303,-6.755,0.0287,80.017,0.436
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,243875,FALSE,0.485,0.562,0.717,0,0.357,-7.197,0.0346,105.953,0.297
Speak Now,reputation Stadium Tour Surprise Song Playlist,243346,FALSE,0.712,0.603,0.0991,0,0.102,-3.753,0.0304,118.979,0.714
Eyes Open (Taylor's Version),The More Red (Taylor's Version) Chapter,243264,FALSE,0.567,0.762,0.000635,0.000565,0.186,-7.05,0.0358,136.982,0.238
The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),243136,FALSE,0.402,0.732,0.0033,0,0.108,-4.665,0.0484,161.032,0.472
